2D Taylor-Green verification (Numba, fixed RNG)
nx=32, dt=0.05, nu=0.0, nmc=2048, nd=8
Velocity L2 error (Biot-Savart) = 0.200387
Time(s)	L2_error
0.0000	0.00000000
0.0500	0.00751307
0.1000	0.01300089
0.1500	0.01567925
0.2000	0.02017456
0.2500	0.02361823
0.3000	0.02689340
0.3500	0.03021401
0.4000	0.03439058
0.4500	0.03771563
0.5000	0.04201135
0.5500	0.04579380
0.6000	0.04950395
0.6500	0.05302138
0.7000	0.05629530
0.7500	0.05977108
0.8000	0.06317847
0.8500	0.06673351
0.9000	0.07015388
0.9500	0.07328693
1.0000	0.07672380
