模拟参数: nx=128, dt=0.2, nmc=2048
总模拟时间: 3.0s
总耗时: 82.63s, 平均每步: 5508.8ms

时间(s)  总环量    最大涡量
0.00    0.448194  0.998480
0.20    0.447471  0.998480
0.40    0.446832  0.998263
0.60    0.446306  0.997854
0.80    0.445839  0.997251
1.00    0.445337  0.996536
1.20    0.444873  0.994710
1.40    0.444387  0.993923
1.60    0.443953  0.992834
1.80    0.443566  0.991715
2.00    0.443068  0.990988
2.20    0.442593  0.990347
2.40    0.442158  0.989856
2.60    0.441672  0.988501
2.80    0.441145  0.988115
3.00    0.440626  0.987032
