3D Taylor-Green standard benchmark (Re=1600, MC velocity)
网格 64³, L=3.141593, k=1.000000, dt=0.05, total_time=1.0, ν=0.00062500, nmc=1024

时间(t)	平均动能Ek	拟涡能Z
0.050000	0.15617759	0.37527863
0.100000	0.15617571	0.37775605
0.150000	0.15624406	0.38137041
0.200000	0.15615472	0.38566503
0.250000	0.15622047	0.39042348
0.300000	0.15619864	0.39552753
0.350000	0.15626722	0.40098843
0.400000	0.15618193	0.40673299
0.450000	0.15630226	0.41278592
0.500000	0.15657097	0.41909462
0.550000	0.15690701	0.42561293
0.600000	0.15732060	0.43244258
0.650000	0.15760857	0.43951696
0.700000	0.15799053	0.44700596
0.750000	0.15811895	0.45466143
0.800000	0.15864353	0.46254795
0.850000	0.15918689	0.47077932
0.900000	0.15981211	0.47918456
0.950000	0.16041698	0.48797469
1.000000	0.16089760	0.49694422

参考峰值: Z=6.284750 @ t=9.1429
模拟峰值: Z=0.496944 @ t=1.0000
峰值拟涡能相对误差 = 92.0929%
峰值时刻相对误差   = 89.0625%
