2D Taylor-Green verification (Numba, fixed RNG)
nx=32, dt=0.005, nu=0.05, nmc=2000, nd=8
Velocity L2 error (Biot-Savart) = 0.206940
Time(s)	L2_error
0.0000	0.00000000
0.0050	0.01157756
0.0100	0.01552400
0.0150	0.01834362
0.0200	0.02109798
0.0250	0.02350415
0.0300	0.02612642
0.0350	0.02818969
0.0400	0.03029458
0.0450	0.03342415
0.0500	0.03577787
0.0550	0.03818945
0.0600	0.04043976
0.0650	0.04340635
0.0700	0.04593884
0.0750	0.04879064
0.0800	0.05151688
0.0850	0.05406409
0.0900	0.05748842
0.0950	0.06034590
0.1000	0.06283909
0.1050	0.06535456
0.1100	0.06814189
0.1150	0.07095964
0.1200	0.07383041
0.1250	0.07647775
0.1300	0.07923265
0.1350	0.08246883
0.1400	0.08505775
0.1450	0.08743380
0.1500	0.09008472
0.1550	0.09260008
0.1600	0.09594199
0.1650	0.09804772
0.1700	0.10030610
0.1750	0.10285511
0.1800	0.10519906
0.1850	0.10833157
0.1900	0.11068599
0.1950	0.11384143
0.2000	0.11612956
0.2050	0.11917311
0.2100	0.12192667
0.2150	0.12463486
0.2200	0.12753153
0.2250	0.13001652
0.2300	0.13260165
0.2350	0.13541624
0.2400	0.13861738
0.2450	0.14115581
0.2500	0.14343101
0.2550	0.14643031
0.2600	0.14903157
0.2650	0.15168123
0.2700	0.15438948
0.2750	0.15669672
0.2800	0.15905521
0.2850	0.16163406
0.2900	0.16380571
0.2950	0.16633719
0.3000	0.16906811
0.3050	0.17172424
0.3100	0.17408830
0.3150	0.17651884
0.3200	0.17861921
0.3250	0.18118854
0.3300	0.18391546
0.3350	0.18636334
0.3400	0.18891369
0.3450	0.19111142
0.3500	0.19356063
0.3550	0.19576619
0.3600	0.19812887
0.3650	0.20049464
0.3700	0.20278277
0.3750	0.20529033
0.3800	0.20752394
0.3850	0.20987834
0.3900	0.21249765
0.3950	0.21473893
0.4000	0.21690282
0.4050	0.21917364
0.4100	0.22170810
0.4150	0.22404976
0.4200	0.22665600
0.4250	0.22882029
0.4300	0.23109788
0.4350	0.23328693
0.4400	0.23571896
0.4450	0.23819403
0.4500	0.24060092
0.4550	0.24300639
0.4600	0.24548153
0.4650	0.24755216
0.4700	0.24985397
0.4750	0.25177745
0.4800	0.25452906
0.4850	0.25683791
0.4900	0.25887110
0.4950	0.26116508
0.5000	0.26306349
